date,dist_m,mov_s,hr,intensity,load,name
2022-03-06,2460.97,735,160,87.3,16,San Mateo Running
2022-03-06,9550.57,2390,151,80.8,44,San Mateo Running
2022-03-05,785.68,227,142,,3,San Mateo Running
2022-03-05,6010.00,1367,165,94.2,34,San Mateo Track Running
2022-03-05,4844.50,1751,128,60.7,18,San Francisco Running
2022-03-03,13862.10,3797,153,81.3,72,San Mateo Running
2022-03-02,2368.49,659,160,88.9,15,San Francisco Running
2022-03-01,3448.31,1078,162,90.5,25,Burlingame Running
2022-03-01,4698.90,968,160,90.3,22,Burlingame Running
2022-03-01,2804.58,752,143,75.7,12,Burlingame Running
2022-02-26,8012.28,2209,161,91.2,51,Chilliwack Running
2022-02-21,10013.71,2549,163,93.2,62,Chilliwack Running
2022-02-19,15052.22,3754,166,94.9,94,Chilliwack Running
2022-02-18,8015.65,2079,158,87.7,45,Chilliwack Running
2022-02-16,1610.00,712,129,59.3,7,San Mateo Track Running
2022-02-15,1610.00,291,156,,6,Burlingame Track Running
2022-02-15,810.00,235,141,,3,Burlingame Track Running
2022-02-12,1210.00,218,160,,5,San Mateo Track Running
2022-02-12,410.00,104,133,,1,San Mateo Track Running
2022-02-12,4610.27,1649,147,76.8,27,San Francisco Running
2022-02-10,577.97,99,117,,1,Burlingame Running
2022-02-10,13875.18,3719,155,84.9,76,San Mateo Running
2022-02-09,2478.75,660,169,95.5,17,San Francisco Running
2022-02-09,8350.00,2008,155,85.8,43,San Francisco Running
2022-02-09,2506.99,687,140,70.7,10,San Francisco Running
2022-02-08,1770.05,538,161,,12,Burlingame Running
2022-02-08,2367.06,438,157,,11,Burlingame Running
2022-02-08,2755.33,691,137,72.1,10,Burlingame Running
2022-02-05,1090.00,350,150,,6,San Mateo Track Running
2022-02-05,5010.00,1112,172,101.6,32,San Mateo Track Running
2022-02-05,1792.03,513,153,,10,San Mateo Running
2022-02-05,3846.17,1242,151,81.6,23,San Francisco Running
2022-02-05,2609.48,696,155,84.7,14,San Francisco Running
2022-02-04,2015.06,580,130,,7,San Mateo Running
2022-02-03,13975.66,4178,145,73.5,64,San Mateo Running
2022-02-02,15085.05,3814,161,89.4,86,San Mateo Running
2022-02-01,1766.63,665,167,95.1,17,Burlingame Running
2022-02-01,3156.53,579,153,,12,Burlingame Running
2022-02-01,2791.80,712,145,76.3,12,Burlingame Running
2022-01-30,13413.46,3395,174,102.9,102,San Mateo Running
2022-01-29,1909.50,545,163,,13,San Mateo Running
2022-01-29,10010.00,2452,177,107.0,78,San Mateo - 10k progression
2022-01-29,1923.06,539,157,,12,San Mateo Running
2022-01-28,2868.85,1093,113,53.6,9,San Mateo Running
2022-01-27,13947.87,3787,161,88.7,84,San Mateo Running
2022-01-26,13013.56,3382,160,88.3,75,San Mateo Running
2022-01-25,1799.86,578,155,,12,Burlingame Running
2022-01-25,3122.02,586,151,,12,Burlingame Running
2022-01-25,2773.72,728,144,76.3,12,Burlingame Running
2022-01-24,1118.31,308,124,,3,San Mateo Running
2022-01-21,2222.03,690,133,68.2,9,San Mateo Running
2022-01-20,13014.22,3327,173,103.4,101,San Mateo Running
2022-01-19,7142.21,1893,160,89.3,42,San Mateo Running
2022-01-18,1767.11,564,160,,13,Burlingame Running
2022-01-18,3152.29,614,158,90.3,14,Burlingame Running
2022-01-18,2727.32,731,153,84.9,15,Burlingame Running
2022-01-13,13879.09,3773,160,88.9,85,San Mateo Running
2022-01-12,12984.15,3361,163,92.4,81,San Mateo Running
2022-01-11,1782.19,608,162,90.3,14,Burlingame Running
2022-01-11,2585.64,502,150,,13,Burlingame Running
2022-01-11,2789.06,745,152,85.1,15,Burlingame Running
2022-01-10,1763.03,463,154,,9,San Mateo Running
2022-01-10,1348.17,378,137,,5,San Mateo Running
2022-01-05,2266.88,1413,102,42.1,7,Chilliwack Running
2022-01-01,11067.70,3043,168,98.5,82,Chilliwack Running
2022-04-19,973.41,377,144,,6,Burlingame Running
2022-04-19,581.42,179,151,,4,Burlingame Running
2022-04-19,5010.00,1089,163,92.5,26,Burlingame Track Running
2022-04-19,906.67,284,128,,3,Burlingame Running
2022-04-11,5582.88,1739,140,70.5,24,San Mateo County Running
2022-04-10,2000.89,586,123,,6,San Mateo Running
2022-04-07,898.62,182,148,,3,Burlingame Running
2022-04-07,13822.20,3647,161,90.5,86,San Mateo Running
2022-04-05,3514.45,1105,161,89.4,25,Burlingame Running
2022-04-05,4928.15,990,161,90.6,23,Burlingame Running
2022-04-05,2139.83,533,124,,5,Burlingame Running
2022-04-05,1751.97,519,128,,6,Burlingame Running
2022-04-02,1889.47,543,157,,11,San Mateo Running
2022-04-02,6000.00,1362,178,108.9,45,San Mateo Track Running
2022-04-02,1898.27,496,149,,9,San Mateo Running
2022-06-30,13916.96,3806,154,82.7,74,San Mateo Running
2022-06-29,4323.89,1133,165,93.3,28,San Francisco Running
2022-06-29,7073.74,1723,145,71.4,28,San Francisco Running
2022-06-29,2891.81,793,142,71.2,12,San Francisco Running
2022-06-28,1766.12,543,158,,12,Burlingame Running
2022-06-28,3978.02,783,160,90.5,18,Burlingame Running
2022-06-26,8346.33,2254,157,87.9,49,Chilliwack Running
2022-06-25,16138.41,4272,170,99.2,118,Chilliwack Running
2022-06-22,4877.75,1292,154,85.0,26,Nanaimo District Running
2022-06-19,2132.54,966,,,0,Nanaimo District Running
2022-06-19,757.41,333,75,,1,Nanaimo District Running
2022-06-16,13832.40,4036,148,74.9,66,San Mateo Running
2022-06-15,2517.62,682,153,82.8,13,San Francisco Running
2022-06-15,9368.30,2176,151,82.1,42,San Francisco Running
2022-06-15,2574.95,700,150,80.3,13,San Francisco Running
2022-06-14,353.33,137,136,,2,Burlingame Running
2022-06-14,420.00,163,140,,2,Burlingame Running
2022-06-14,553.63,127,164,,4,Burlingame Running
2022-06-14,959.33,189,179,,7,Burlingame Running
2022-06-14,5041.70,1053,183,116.7,40,Burlingame Running
2022-06-14,1842.16,524,144,,9,Burlingame Running
2022-06-05,3202.14,1094,138,67.9,14,San Carlos Running
2022-06-05,4693.12,974,180,112.0,34,San Carlos Running
2022-06-05,1081.14,302,148,,5,San Carlos Running
2022-06-04,4728.71,1488,146,76.1,24,Redwood City Running
2022-06-02,8670.39,2377,144,75.3,38,Burlingame Running
2022-06-01,7422.67,2029,144,74.0,31,San Francisco Running
2022-06-01,2520.85,667,144,73.4,10,San Francisco Running
2022-05-31,1767.98,545,153,,10,Burlingame Running
2022-05-31,6283.42,1213,160,95.0,31,Burlingame Running
2022-05-31,1828.16,517,136,,7,Burlingame Running
2022-05-29,2727.96,765,157,81.3,15,San Mateo Running
2022-05-29,14282.30,3618,163,92.4,88,San Mateo Running
2022-05-28,3529.54,966,155,84.1,19,San Mateo Running
2022-05-28,5010.00,1134,170,99.1,31,San Mateo Track Running
2022-05-28,1753.27,481,147,,8,San Mateo Running
2022-05-28,5225.63,1766,131,63.1,20,San Francisco Running
2022-05-26,13872.62,3718,151,79.7,68,San Mateo Running
2022-05-25,2583.81,670,164,91.6,16,San Francisco Running
2022-05-25,9527.29,2245,158,87.6,50,San Francisco Running
2022-05-25,2508.97,673,149,78.4,12,San Francisco Running
2022-05-24,1800.52,557,147,,9,Burlingame Running
2022-05-24,4221.03,885,163,102.3,26,Burlingame Running
2022-05-24,2385.37,684,146,76.0,11,Burlingame Running
2022-05-22,12915.66,3281,169,98.0,90,San Mateo Running
2022-05-21,1828.11,502,151,,9,San Mateo Running
2022-05-21,2240.00,612,158,87.4,13,San Mateo Track Running
2022-05-21,1210.00,280,164,,7,San Mateo Track Running
2022-05-21,1764.33,483,152,,10,San Mateo Running
2022-05-20,1041.61,311,134,,4,San Mateo Running
2022-05-19,11656.14,3377,140,70.8,48,Burlingame Running
2022-05-18,6522.63,1731,165,92.7,42,San Francisco Running
2022-05-18,5266.92,1208,163,100.2,34,San Francisco Running
2022-05-18,2513.89,679,146,74.9,11,San Francisco Running
2022-05-17,3408.24,1041,154,83.0,20,Burlingame Running
2022-05-17,10010.81,2237,173,102.9,66,Burlingame Running
2022-05-17,2815.97,752,150,81.6,14,Burlingame Running
2022-05-15,8403.19,2250,160,90.5,52,San Mateo Running
2022-05-15,1347.42,357,155,,8,San Mateo Running
2022-05-14,7790.00,2100,,,0,Late night treadmill
2022-05-14,1283.17,358,129,,4,San Mateo Running
2022-05-14,4864.37,1669,140,70.4,23,San Francisco Running
2022-05-14,347.53,117,120,,1,San Francisco Running
2022-05-12,1314.14,400,134,,5,Burlingame Running
2022-05-12,8681.78,2218,154,82.5,42,Burlingame Running
2022-05-12,1260.29,381,122,,4,Burlingame Running
2022-05-11,2610.72,694,158,87.9,15,San Francisco Running
2022-05-11,8441.68,2041,151,80.0,39,San Francisco Running
2022-05-11,2607.45,655,149,84.5,13,San Francisco Running
2022-05-10,3251.35,1008,152,81.1,19,Burlingame Running
2022-05-10,4201.04,861,157,86.2,18,Burlingame Running
2022-05-10,1739.64,515,143,,8,Burlingame Running
2022-05-08,10405.30,2744,163,90.9,65,San Mateo Running
2022-05-08,4711.79,1552,138,69.4,21,Palo Alto Running
2022-05-07,5440.00,1511,153,85.5,31,Treadmill Running
2022-05-05,1271.49,394,142,,6,Burlingame Running
2022-05-05,8659.42,2235,163,91.1,53,Burlingame Running
2022-05-05,1231.61,391,135,,5,Burlingame Running
2022-05-04,2530.46,729,159,84.6,15,San Francisco Running
2022-05-04,9455.97,2308,160,90.9,54,San Francisco Running
2022-05-04,2559.20,722,147,77.3,12,San Francisco Running
2022-05-03,3479.72,1026,163,91.8,24,Burlingame Running
2022-05-03,4820.30,1022,167,96.6,28,Burlingame Running
2022-05-03,2427.81,674,147,78.9,12,Burlingame Running
2022-05-02,6177.66,1689,165,94.6,42,San Mateo Running
2022-08-09,2669.08,739,160,91.2,18,Ealing Running
2022-08-09,7702.07,1904,171,102.3,56,City of London Running
2022-08-05,4295.69,1156,148,79.4,21,Ealing Running
2022-08-02,1771.43,590,154,,12,Burlingame Running
2022-08-02,4665.08,909,145,76.6,15,Burlingame Running
2022-08-02,1927.97,547,133,,7,Burlingame Running
2022-07-31,17911.00,4668,164,93.6,114,San Mateo Running
2022-07-30,4908.32,1835,133,63.5,21,Alameda County Running
2022-07-28,13896.08,3468,156,85.5,72,San Mateo Running
2022-07-24,5014.50,1027,175,104.0,31,San Francisco Running
2022-07-24,710.65,202,141,,3,San Francisco Running
2022-07-20,1306.37,342,153,,7,San Francisco Running
2022-07-18,4236.15,1103,151,78.1,20,San Mateo Running
2022-07-16,2501.40,560,171,,16,San Francisco Running
2022-07-16,2506.53,589,161,,14,San Francisco Running
2022-07-14,16160.36,4191,160,89.1,95,San Mateo Running
2022-07-13,2555.48,669,154,83.0,13,San Francisco Running
2022-07-13,9200.52,2102,154,86.4,44,San Francisco Running
2022-07-13,2525.76,680,143,76.3,11,San Francisco Running
2022-07-12,3469.82,1099,154,82.8,21,Burlingame Running
2022-07-12,4019.18,770,154,85.7,16,Burlingame Running
2022-07-12,1838.67,501,140,,8,Burlingame Running
2022-07-10,7478.05,1996,151,80.6,37,San Mateo Running
2022-07-09,1925.69,511,158,,11,San Mateo Running
2022-07-09,8010.00,1992,172,101.4,57,San Mateo Track Running
2022-07-09,810.00,470,108,,3,San Mateo Track Running
2022-07-09,1751.31,467,145,,8,San Mateo Running
2022-07-07,13844.95,3816,151,79.4,69,San Mateo Running
2022-07-06,3017.62,785,168,95.7,20,San Francisco Running
2022-07-06,8639.70,2067,151,77.2,39,San Francisco Running
2022-07-06,2701.22,738,143,73.2,11,San Francisco Running
2022-07-05,3860.37,1180,153,81.6,22,Burlingame Running
2022-07-05,7453.96,1701,169,99.5,47,Burlingame Running
2022-07-05,2004.85,594,140,72.0,9,Burlingame Running
2022-07-05,7842.24,6645,86,31.6,19,San Mateo County Running
2022-07-03,17020.62,4551,164,92.7,109,San Mateo Running
2022-10-15,4894.39,1696,132,61.7,18,Fremont Running
2022-10-12,12797.51,3876,136,71.0,56,San Francisco Running
2022-10-11,3392.04,1076,152,81.3,20,Burlingame Running
2022-10-11,6325.04,1268,157,87.3,27,Burlingame Running
2022-10-11,1793.49,482,143,,7,Burlingame Running
2022-10-10,1756.21,493,120,,4,San Mateo Running
2022-10-10,6844.78,2241,132,61.7,25,San Mateo Running
2022-10-09,13058.45,2964,171,99.8,82,San Jose Running
2022-10-09,832.61,220,159,,5,San Jose Running
2022-10-09,773.93,223,157,,5,San Jose Running
2022-10-08,3264.93,1423,121,54.9,12,San Jose Running
2022-10-06,8689.52,2458,152,80.2,45,Burlingame Running
2022-10-04,1813.95,538,144,,9,Burlingame Running
2022-10-04,3304.03,705,166,95.5,18,Burlingame Running
2022-10-04,1730.02,507,138,,7,Burlingame Running
2022-10-02,14004.36,11663,97,36.1,46,El Dorado County Trail Running
2022-10-01,10062.29,8955,95,37.5,37,El Dorado County Trail Running
2022-10-01,6460.23,1418,170,101.0,42,San Mateo Running
2022-10-01,771.46,203,130,,2,San Mateo Running
2022-09-29,8662.08,2564,149,78.5,44,Burlingame Running
2022-09-28,3802.29,2337,92,34.5,8,San Mateo Running
2022-09-27,1769.55,709,146,78.1,12,Burlingame Running
2022-09-27,7775.99,1666,157,86.7,35,Burlingame Running
2022-09-27,1761.71,528,139,,7,Burlingame Running
2022-09-25,1604.14,424,154,,8,San Mateo Running
2022-09-25,10855.74,2931,150,79.5,52,San Mateo Running
2022-09-24,3256.66,1380,131,62.6,15,Burlingame Running
2022-09-24,3036.66,842,160,87.7,18,Redwood City Running
2022-09-24,2259.63,524,165,,13,Redwood City Running
2022-09-24,11251.65,2487,169,97.7,66,Redwood City Running
2022-09-24,1843.39,537,135,,7,Redwood City Running
2022-09-22,13907.51,3815,145,74.3,60,San Mateo Running
2022-09-21,2546.42,700,146,75.2,11,San Francisco Running
2022-09-21,9562.66,2222,160,91.1,52,San Francisco Running
2022-09-21,2391.42,648,147,77.3,11,San Francisco Running
2022-09-20,4179.14,1411,138,67.7,18,Burlingame Running
2022-09-20,617.22,127,158,,3,Burlingame Running
2022-09-20,6812.47,1476,165,96.2,38,Burlingame Running
2022-09-20,1758.47,516,137,,7,Burlingame Running
2022-09-19,4166.99,1082,143,72.2,16,San Mateo Running
2022-09-18,2015.43,581,159,,13,San Mateo Running
2022-09-18,17305.46,4479,162,91.7,106,San Mateo Running
2022-09-17,4772.43,1698,144,72.7,25,Alameda County Running
2022-09-17,12724.53,2950,167,96.3,76,Burlingame Running
2022-09-17,1133.63,313,135,,4,Burlingame Running
2022-09-15,13886.18,3756,147,77.5,64,San Mateo Running
2022-09-14,2523.88,746,156,83.3,15,San Francisco Running
2022-09-14,9005.65,2112,151,81.9,40,San Francisco Running
2022-09-14,2425.48,664,141,73.4,10,San Francisco Running
2022-09-13,1741.89,535,147,,9,Burlingame Running
2022-09-13,7839.74,1625,162,92.7,39,Burlingame Running
2022-09-13,1750.48,482,139,,7,Burlingame Running
2022-09-12,4886.85,1573,140,71.0,22,Santa Clara Running
2022-09-11,22018.90,5871,163,90.8,136,San Mateo Running
2022-09-10,3928.93,1091,154,83.2,21,San Mateo Running
2022-09-10,5020.00,1120,170,99.6,31,San Mateo Track Running
2022-09-10,1775.10,475,148,,8,San Mateo Running
2022-09-10,4931.48,1406,150,80.0,25,San Francisco Running
2022-09-08,13863.84,3709,156,86.2,77,Burlingame Running
2022-09-07,11057.76,2815,153,84.6,57,San Mateo Running
2022-09-06,1814.67,564,148,,10,Burlingame Running
2022-09-06,3267.33,634,160,91.6,15,Burlingame Running
2022-09-06,1752.81,443,131,,5,Burlingame Running
2022-09-06,1787.19,531,127,,6,Burlingame Running
2022-09-05,4864.03,1963,122,57.3,18,San Mateo Running
2022-09-04,7580.32,2041,152,82.6,39,San Mateo Running
2022-09-03,1947.89,538,140,,8,San Mateo Running
2022-09-03,2400.00,574,157,,12,San Mateo Track Running
2022-09-03,1769.32,488,144,,8,San Mateo Running
2022-09-03,4824.71,1429,149,79.3,25,San Mateo County Running
2022-09-01,13820.45,3525,152,81.3,66,San Mateo Running
2022-08-30,3438.74,978,160,89.9,22,Burlingame Running
2022-08-30,4395.51,910,149,79.3,16,Burlingame Running
2022-08-30,1812.74,506,135,,7,Burlingame Running
2022-08-29,4844.57,1577,131,63.6,18,Palo Alto Running
2022-08-28,4804.85,1356,164,93.6,33,Burlingame Running
2022-08-28,13215.92,3005,169,102.6,88,Burlingame Running
2022-08-28,800.00,208,140,,3,Burlingame Track Running
2022-08-28,1647.98,473,126,,5,Burlingame Running
2022-08-27,5530.35,1708,151,79.5,30,Oakland Running
2022-08-25,13842.89,3743,156,84.2,76,San Mateo Running
2022-08-24,2574.52,718,150,79.7,13,San Francisco Running
2022-08-24,8231.91,1920,146,77.7,33,San Francisco Running
2022-08-24,2522.19,677,147,79.5,12,San Francisco Running
2022-08-23,3399.79,1005,156,84.5,20,Burlingame Running
2022-08-23,3405.90,666,145,76.7,11,Burlingame Running
2022-08-23,1912.30,541,140,,8,Burlingame Running
2022-08-21,18550.25,4865,163,92.8,119,San Mateo Running
2022-08-20,2711.19,735,169,99.0,20,San Mateo Running
2022-08-20,2010.00,460,184,,17,San Mateo Track Running
2022-08-20,4000.00,1886,178,108.6,62,San Mateo Track Running
2022-08-20,1924.41,524,158,,11,San Mateo Running
2022-08-19,4983.28,1810,147,75.7,30,San Mateo Running
2022-08-18,9425.73,2700,157,84.9,57,San Mateo Running
2022-12-29,2003.48,1593,84,30.0,4,Chilliwack Running
2022-12-28,1382.33,1139,83,28.6,3,Chilliwack Running
2022-12-26,3294.19,864,163,93.5,21,Chilliwack Running
2022-12-25,7883.31,2375,153,83.1,46,Chilliwack Running
2022-12-20,7028.89,1857,151,80.4,34,San Mateo Running
2022-12-17,4715.10,1410,146,76.6,23,San Francisco Running
2022-12-16,13282.93,3516,151,80.2,64,San Mateo Running
2022-12-15,13429.53,3786,145,73.4,59,San Mateo Running
2022-12-14,14023.29,3695,144,74.7,58,San Mateo Running
2022-12-13,1837.56,520,149,,10,Burlingame Running
2022-12-13,1603.41,299,157,,7,Burlingame Running
2022-12-13,2180.75,547,127,,5,Burlingame Running
2022-12-13,1613.06,318,140,,4,Burlingame Running
2022-12-13,2343.81,714,134,67.4,9,Burlingame Running
2022-12-12,4807.80,1030,155,87.4,22,San Francisco Running
2022-12-12,804.79,291,119,,3,San Francisco Running
2022-12-11,24506.68,6432,160,88.0,140,San Mateo Running
2022-12-10,14799.78,3737,148,76.3,62,San Mateo Running
2022-12-09,5716.44,1494,140,70.6,21,San Mateo Running
2022-12-08,13456.07,3712,159,87.4,81,San Mateo Running
2022-12-06,1772.74,596,156,,12,Burlingame Running
2022-12-06,618.51,147,166,,4,Burlingame Running
2022-12-06,4933.01,940,149,82.3,18,Burlingame Running
2022-12-06,1752.78,479,136,,6,Burlingame Running
2022-12-05,5660.00,1488,151,80.7,27,San Mateo Track Running
2022-12-05,2134.20,868,124,55.9,8,San Mateo Running
2022-12-04,14388.68,3751,167,98.6,102,San Mateo Running
2022-12-03,4872.67,1669,135,67.3,21,Alameda County Running
2022-12-01,13426.95,3635,155,82.3,70,San Mateo Running
2022-11-29,1061.52,363,142,,6,Burlingame Running
2022-11-29,6314.47,1356,141,74.0,21,Burlingame Running
2022-11-29,1740.46,515,140,,8,Burlingame Running
2022-11-28,3205.49,679,141,75.9,11,Campbell Running
2022-11-28,795.80,348,121,,3,Campbell Running
2022-11-27,4194.57,1144,146,77.1,19,San Mateo Running
2022-11-24,2471.04,976,136,64.7,12,San Mateo Running
2022-11-24,4926.49,994,169,100.7,28,San Mateo Running
2022-11-24,1278.18,346,153,,7,San Mateo Running
2022-11-23,5000.32,3518,88,31.9,10,San Mateo Running
2022-11-22,5016.59,1212,157,85.3,25,San Mateo Running
2022-11-21,4870.29,1201,150,81.2,22,San Mateo Running
2022-11-19,4947.56,1672,132,63.9,19,San Francisco Running
2022-11-17,13806.69,3745,146,75.6,62,San Mateo Running
2022-11-15,4643.55,1799,133,64.3,21,San Mateo Running
2022-11-15,1070.34,352,152,,7,Burlingame Running
2022-11-15,7035.50,1507,163,93.8,37,Burlingame Running
2022-11-15,1746.12,500,130,,6,Burlingame Running
2022-11-13,24234.18,6355,159,86.7,134,San Mateo Running
2022-11-12,270.00,84,126,,1,San Mateo Track Running
2022-11-12,5010.00,1150,164,93.5,28,San Mateo Track Running
2022-11-12,810.00,220,130,,3,San Mateo Track Running
2022-11-12,4793.47,1720,119,54.0,14,Redwood City Running
2022-11-10,13895.87,3799,142,72.5,57,San Mateo Running
2022-11-10,3754.34,1375,127,58.9,14,San Mateo Running
2022-11-09,17017.08,4381,154,84.0,87,San Mateo Running
2022-11-08,3498.16,1170,155,83.7,23,Burlingame Running
2022-11-08,5048.15,1068,160,89.9,24,Burlingame Running
2022-11-08,1757.81,512,141,,8,Burlingame Running
2022-11-06,7861.58,2078,143,73.9,32,San Mateo Running
2022-11-05,846.87,233,144,,4,San Mateo Running
2022-11-05,10020.00,2322,164,94.0,57,San Mateo Track Running
2022-11-05,810.00,218,115,,2,San Mateo Track Running
2022-11-05,3269.47,1408,111,48.0,9,Santa Clara Running
2022-11-02,8579.51,2915,134,64.9,35,San Mateo Running
2022-11-02,17158.67,4541,148,77.0,77,San Mateo Running
2022-11-01,1771.73,571,152,,11,Burlingame Running
2022-11-01,6263.94,1237,154,87.7,27,Burlingame Running
2022-11-01,1806.64,523,128,,6,Burlingame Running
2022-10-30,2351.30,650,152,80.7,12,San Mateo Running
2022-10-30,21134.16,5490,153,84.3,109,San Mateo Running
2022-10-27,400.54,165,100,,1,San Francisco Running
2022-10-27,810.00,263,135,,3,San Francisco Track Running
2022-10-26,5433.39,3133,116,51.1,38,San Jose Running
2022-10-26,9661.31,2491,154,83.9,50,San Mateo County Running
2022-10-25,1832.72,579,142,68.9,8,Burlingame Running
2022-10-25,4189.76,854,146,76.5,14,Burlingame Running
2022-10-25,2658.85,647,124,56.4,6,Burlingame Running
2022-10-25,1724.60,515,133,,6,Burlingame Running
2022-10-24,4853.52,1685,131,63.6,19,Campbell Running
2022-10-23,2740.47,750,155,84.0,15,San Mateo Running
2022-10-23,17497.22,4606,161,89.6,104,San Mateo Running
2022-10-22,1499.59,424,144,,7,San Mateo Running
2022-10-22,3018.88,678,156,89.2,15,San Mateo Running
2022-10-22,1523.50,406,140,,6,San Mateo Running
2022-10-22,4849.99,1370,152,84.1,27,San Francisco Running
2022-10-20,8645.08,2564,139,69.9,35,Burlingame Running
2022-10-19,1228.70,325,144,,5,San Francisco Running
2022-10-19,7355.60,1667,148,78.3,31,San Francisco Running
2022-10-19,2572.30,671,139,73.2,10,San Francisco Running
2022-10-18,1763.71,554,147,,9,Burlingame Running
2022-10-18,3143.61,694,177,106.8,22,Burlingame Running
2022-10-18,5968.55,1308,176,106.2,41,Burlingame Running
2022-10-18,1798.12,479,144,,9,Burlingame Running
2022-10-16,1298.82,375,156,,8,San Mateo Running
2022-10-16,21130.15,5340,165,93.9,131,San Mateo Running
2023-02-27,851.32,281,149,,5,Campbell Running
2023-02-27,3231.47,707,151,81.2,13,Campbell Running
2023-02-27,645.08,162,134,,2,Campbell Running
2023-02-27,1654.68,417,121,,4,San Mateo Running
2023-02-25,4827.01,1410,138,69.5,19,Berkeley Running
2023-02-21,3393.58,749,160,90.4,17,Burlingame Running
2023-02-21,1826.68,548,136,,7,Burlingame Running
2023-02-19,6288.61,4748,90,33.1,15,Marin County Running
2023-02-19,1734.23,961,156,73.7,19,San Francisco Running
2023-02-18,4756.65,1513,144,73.6,23,Redwood City Running
2023-02-18,1009.09,265,143,,4,San Mateo Running
2023-02-16,13828.72,3759,155,85.4,78,San Mateo Running
2023-02-15,5660.75,1354,151,82.4,26,San Mateo Running
2023-02-15,1234.76,348,142,,5,San Mateo Running
2023-02-11,1570.00,1250,88,33.9,4,Chilliwack Running
2023-02-05,10026.54,2136,172,102.2,62,San Francisco Running
2023-02-02,9934.98,2704,149,80.6,49,Burlingame Running
2023-01-31,1774.52,590,147,,10,Burlingame Running
2023-01-31,3164.85,698,154,84.9,14,Burlingame Running
2023-01-31,3144.82,634,133,66.8,8,Burlingame Running
2023-01-31,1806.81,497,128,,6,Burlingame Running
2023-01-29,21141.34,5431,158,86.5,114,San Mateo Running
2023-01-28,3618.31,924,163,92.5,22,San Mateo Running
2023-01-28,3010.00,622,165,96.2,16,San Mateo Track Running
2023-01-28,810.00,211,144,,3,San Mateo Track Running
2023-01-28,4637.17,1655,129,61.1,18,Contra Costa County Running
2023-01-27,3035.02,904,138,68.9,12,San Mateo Running
2023-01-26,13774.51,3769,146,75.6,62,San Mateo Running
2023-01-25,17295.63,4496,154,83.1,87,San Mateo Running
2023-01-24,1789.03,668,159,87.9,15,Burlingame Running
2023-01-24,2260.48,585,128,,6,Burlingame Running
2023-01-24,1622.83,601,126,60.0,6,Burlingame Running
2023-01-23,1600.00,408,163,,10,San Francisco Track Running
2023-01-23,820.00,308,126,,3,San Francisco Track Running
2023-01-22,20259.70,5214,161,89.0,117,San Mateo Running
2023-01-22,5322.22,4757,78,22.0,8,Santa Cruz County Trail Running
2023-01-21,810.00,232,151,,4,San Mateo Track Running
2023-01-21,10010.00,2315,172,101.2,66,San Mateo Track Running
2023-01-21,810.00,231,124,,2,San Mateo Track Running
2023-01-21,4907.63,1448,150,80.4,26,San Jose Running
2023-01-19,13417.88,3839,148,77.3,66,San Mateo Running
2023-01-18,17732.00,4631,154,83.3,90,San Mateo Running
2023-01-17,2176.75,671,156,86.3,14,Burlingame Running
2023-01-17,1596.78,323,169,,9,Burlingame Running
2023-01-17,3771.45,778,148,80.1,14,Burlingame Running
2023-01-17,1745.75,465,137,,7,Burlingame Running
2023-01-14,2724.28,711,163,92.5,17,San Mateo Running
